,link,legislatura,date,type
105,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_106.PDF,III,1988-04-27,diaro de sesiones
106,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_107.PDF,III,1988-04-28,diaro de sesiones
107,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_108.PDF,III,1988-05-10,diaro de sesiones
108,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_109.PDF,III,1988-05-11,diaro de sesiones
109,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_110.PDF,III,1988-05-12,diaro de sesiones
110,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_111.PDF,III,1988-05-17,diaro de sesiones
111,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_112.PDF,III,1988-05-18,diaro de sesiones
112,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_113.PDF,III,1988-05-19,diaro de sesiones
113,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_114.PDF,III,1988-05-31,diaro de sesiones
114,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_115.PDF,III,1988-05-31,diaro de sesiones
115,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_116.PDF,III,1988-06-01,diaro de sesiones
116,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_117.PDF,III,1988-06-07,diaro de sesiones
117,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_118.PDF,III,1988-06-07,diaro de sesiones
118,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_119.PDF,III,1988-06-08,diaro de sesiones
119,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_120.PDF,III,1988-06-09,diaro de sesiones
120,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_121.PDF,III,1988-06-14,diaro de sesiones
121,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_122.PDF,III,1988-06-15,diaro de sesiones
122,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_123.PDF,III,1988-06-16,diaro de sesiones
123,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_124.PDF,III,1988-06-21,diaro de sesiones
